PDB	resi_min	resi_max	resi_span	resi_count	domainStart	domainStop	domainFrac	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	note	evidence
1KC2	147	309	163	103	148	245	0.9514563106796117	P00524	reviewed	SRC_RSVSA	Tyrosine-protein kinase transforming protein Src (EC 2.7.10.2) (pp60v-src) (p60-Src) (v-Src)	V-SRC	Avian leukosis virus RSA (RSV-SRA) (Rous sarcoma virus (strain Schmidt-Ruppin A))	526		SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3TKZ	2	103	102	102	6	102	0.9509803921568627	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
2H46	55	152	98	98	60	152	0.9489795918367347	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2H5K	2	152	151	98	60	152	0.9489795918367347	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2HDV	518	627	110	105	527	625	0.9428571428571428	Q91ZM2	reviewed	SH2B1_MOUSE	SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B) (SH2-B PH domain-containing signaling mediator 1)	Sh2b1 Sh2bpsm1	Mus musculus (Mouse)	756	Q91ZM2;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1F2F	144	247	104	104	148	245	0.9423076923076923	P00523	reviewed	SRC_CHICK	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC	Gallus gallus (Chicken)	533	P00523;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1BHH	123	226	104	104	127	224	0.9423076923076923	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1LCJ	123	226	104	104	127	224	0.9423076923076923	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1SHD	102	249	148	104	151	248	0.9423076923076923	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5KAZ	1	103	103	103	5	101	0.941747572815534	O14796	reviewed	SH21B_HUMAN	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2	Homo sapiens (Human)	132	O14796;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4JE4	2	104	103	103	6	102	0.941747572815534	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1A1E	102	249	148	105	151	248	0.9333333333333333	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4QSY	1	104	104	104	6	102	0.9326923076923077	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1X0N	60	159	100	100	60	152	0.93	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3IN7	55	154	100	100	60	152	0.93	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3KFJ	56	155	100	100	60	152	0.93	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1JWO	117	213	97	97	122	211	0.9278350515463918	P42679	reviewed	MATK_HUMAN	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	507	P42679;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A07	102	249	148	106	151	248	0.9245283018867925	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A08	102	249	148	106	151	248	0.9245283018867925	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A1B	102	249	148	106	151	248	0.9245283018867925	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A1C	102	249	148	106	151	248	0.9245283018867925	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1AYB	-2	103	106	105	6	102	0.9238095238095239	P35235	reviewed	PTN11_MOUSE	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2)	Ptpn11	Mus musculus (Mouse)	593	P35235;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1AYC	-2	103	106	105	6	102	0.9238095238095239	P35235	reviewed	PTN11_MOUSE	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2)	Ptpn11	Mus musculus (Mouse)	593	P35235;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
3TL0	5	206	202	105	6	102	0.9238095238095239	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1FYR	1	152	152	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2HUW	55	155	101	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3C7I	55	155	101	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3IMD	55	155	101	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3IMJ	55	155	101	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3IN8	55	155	101	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3N7Y	2	152	151	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3WA4	57	195	139	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4P9V	4	153	150	101	60	152	0.9207920792079208	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1LKL	123	255	133	107	127	224	0.9158878504672897	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A09	102	249	148	107	151	248	0.9158878504672897	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A1A	102	249	148	107	151	248	0.9158878504672897	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1AYA	-3	103	107	106	6	102	0.9150943396226415	P35235	reviewed	PTN11_MOUSE	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2)	Ptpn11	Mus musculus (Mouse)	593	P35235;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1BM2	4	152	149	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1ZFP	2	153	152	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3N8M	3	153	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3OVE	4	154	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3S8L	4	154	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3S8N	4	154	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3S8O	4	154	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6WM1	4	154	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6WO2	4	154	151	102	60	152	0.9117647058823529	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1BHF	122	255	134	108	127	224	0.9074074074074074	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1LKK	122	255	134	108	127	224	0.9074074074074074	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4F59	144	251	108	108	151	248	0.9074074074074074	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4F5A	144	251	108	108	151	248	0.9074074074074074	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4F5B	144	251	108	108	151	248	0.9074074074074074	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1IS0	146	355	210	108	148	245	0.9074074074074074	P00524	reviewed	SRC_RSVSA	Tyrosine-protein kinase transforming protein Src (EC 2.7.10.2) (pp60v-src) (p60-Src) (v-Src)	V-SRC	Avian leukosis virus RSA (RSV-SRA) (Rous sarcoma virus (strain Schmidt-Ruppin A))	526		SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2CIA	283	480	198	106	285	380	0.9056603773584906	O43639	reviewed	NCK2_HUMAN	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	380	O43639;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3OV1	4	156	153	103	60	152	0.9029126213592233	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4EIH	167	267	101	101	173	263	0.900990099009901	P42684	reviewed	ABL2_HUMAN	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	1182	P42684;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2MRK	1	248	248	109	149	246	0.8990825688073395	P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	P06241;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5TO4	660	758	99	99	668	756	0.898989898989899	P08487	reviewed	PLCG1_BOVIN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1	Bos taurus (Bovine)	1291	P08487;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
2AUG	430	537	108	108	439	535	0.8981481481481481	Q14449	reviewed	GRB14_HUMAN	Growth factor receptor-bound protein 14 (GRB14 adapter protein)	GRB14	Homo sapiens (Human)	540	Q14449;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1TZE	1	152	152	104	60	152	0.8942307692307693	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3MXC	55	687	633	104	60	152	0.8942307692307693	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6PXB	178	280	103	103	181	272	0.8932038834951457	P20936	reviewed	RASA1_HUMAN	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 GAP RASA	Homo sapiens (Human)	1047	P20936;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
3EAC	73	173	101	101	82	171	0.8910891089108911	P41240	reviewed	CSK_HUMAN	Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)	CSK	Homo sapiens (Human)	450	P41240;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1F1W	144	322	179	110	148	245	0.8909090909090909	P00523	reviewed	SRC_CHICK	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC	Gallus gallus (Chicken)	533	P00523;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4TZI	119	228	110	110	129	226	0.8909090909090909	P25911	reviewed	LYN_MOUSE	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	Lyn	Mus musculus (Mouse)	512	P25911;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5TNW	659	758	100	100	668	756	0.89	P08487	reviewed	PLCG1_BOVIN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1	Bos taurus (Bovine)	1291	P08487;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
2FCI	1	105	105	105	10	102	0.8857142857142857	Q32PK0	unreviewed	Q32PK0_BOVIN	Tyrosine-protein kinase (EC 2.7.10.2)	SYK	Bos taurus (Bovine)	605		SH2	ECO:0000259|PROSITE:PS50001
5GJH	56	196	141	104	58	149	0.8846153846153846	O75791	reviewed	GRAP2_HUMAN	GRB2-related adapter protein 2 (Adapter protein GRID) (GRB-2-like protein) (GRB2L) (GRBLG) (GRBX) (Grf40 adapter protein) (Grf-40) (Growth factor receptor-binding protein) (Hematopoietic cell-associated adapter protein GrpL) (P38) (Protein GADS) (SH3-SH2-SH3 adapter Mona)	GRAP2 GADS GRB2L GRID	Homo sapiens (Human)	330	O75791;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3EAZ	73	174	102	102	82	171	0.8823529411764706	P41240	reviewed	CSK_HUMAN	Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)	CSK	Homo sapiens (Human)	450	P41240;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1BMB	1	153	153	106	60	152	0.8773584905660378	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
